!Ogata ffP24Os20BM.dat
!number of kinetic energy = 8
!nstep = 134
!step =   0.100000
!r origin =    0.000000E+00
8 134     0.100000   0.000000
 20.000000
(-5.0719126E+01, -7.2245375E+00) (-3.8917656E-01, -2.5882616E-02) 4.7912843E+00
(-5.0705080E+01, -7.2192810E+00) (-3.9772761E-01, -2.6373256E-02) 4.7925131E+00
(-5.0663175E+01, -7.2033005E+00) (-4.0627865E-01, -2.6863896E-02) 4.7912843E+00
(-5.0591919E+01, -7.1761860E+00) (-4.1779122E-01, -2.7562754E-02) 4.7875979E+00
(-5.0488250E+01, -7.1398028E+00) (-4.3347589E-01, -2.8524483E-02) 4.7814539E+00
(-5.0332872E+01, -7.1010181E+00) (-4.5377370E-01, -2.9771084E-02) 4.7728523E+00
(-5.0093439E+01, -7.0710838E+00) (-4.7903813E-01, -3.1321171E-02) 4.7617931E+00
(-4.9794811E+01, -7.0418550E+00) (-5.0963396E-01, -3.3194183E-02) 4.7482763E+00
(-4.9446949E+01, -7.0113853E+00) (-5.4595466E-01, -3.5410904E-02) 4.7323019E+00
(-4.9028899E+01, -6.9887062E+00) (-5.8841778E-01, -3.7992939E-02) 4.7138699E+00
(-4.8549805E+01, -6.9702971E+00) (-6.3744862E-01, -4.0961561E-02) 4.6929803E+00
(-4.8028498E+01, -6.9490864E+00) (-6.9345367E-01, -4.4336002E-02) 4.6696331E+00
(-4.7468583E+01, -6.9242218E+00) (-7.5678240E-01, -4.8131141E-02) 4.6438283E+00
(-4.6871643E+01, -6.8962413E+00) (-8.2767553E-01, -5.2354517E-02) 4.6155659E+00
(-4.6235420E+01, -6.8650695E+00) (-9.0619807E-01, -5.7002682E-02) 4.5848459E+00
(-4.5545089E+01, -6.8286708E+00) (-9.9215633E-01, -6.2056975E-02) 4.5516683E+00
(-4.4811370E+01, -6.7879623E+00) (-1.0850000E+00, -6.7478970E-02) 4.5160331E+00
(-4.4060652E+01, -6.7452802E+00) (-1.1837142E+00, -7.3206087E-02) 4.4779403E+00
(-4.3304801E+01, -6.7002342E+00) (-1.2867108E+00, -7.9148109E-02) 4.4373899E+00
(-4.2545406E+01, -6.6511142E+00) (-1.3917353E+00, -8.5185634E-02) 4.3943819E+00
(-4.1775170E+01, -6.5923638E+00) (-1.4958108E+00, -9.1171650E-02) 4.3489163E+00
(-4.0948014E+01, -6.5137361E+00) (-1.5952487E+00, -9.6937362E-02) 4.3009931E+00
(-4.0000169E+01, -6.4202442E+00) (-1.6857530E+00, -1.0230295E-01) 4.2506123E+00
(-3.8979042E+01, -6.3122306E+00) (-1.7626442E+00, -1.0709302E-01) 4.1977739E+00
(-3.7883869E+01, -6.1999084E+00) (-1.8212056E+00, -1.1115505E-01) 4.1424779E+00
(-3.6704689E+01, -6.1024376E+00) (-1.8571352E+00, -1.1437793E-01) 4.0847243E+00
(-3.5473082E+01, -6.0130739E+00) (-1.8670480E+00, -1.1670611E-01) 4.0245131E+00
(-3.4240357E+01, -5.9357663E+00) (-1.8489472E+00, -1.1814536E-01) 3.9618443E+00
(-3.3069495E+01, -6.0188150E+00) (-1.8025673E+00, -1.1875683E-01) 3.8967179E+00
(-3.1813047E+01, -6.1693054E+00) (-1.7295070E+00, -1.1863912E-01) 3.8291339E+00
(-3.0447178E+01, -6.2236678E+00) (-1.6331060E+00, -1.1790106E-01) 3.7590923E+00
(-2.9139769E+01, -6.2061205E+00) (-1.5180807E+00, -1.1663097E-01) 3.6865931E+00
(-2.7908386E+01, -6.1509079E+00) (-1.3899880E+00, -1.1486984E-01) 3.6116363E+00
(-2.6756253E+01, -6.1021720E+00) (-1.2546241E+00, -1.1259598E-01) 3.5342219E+00
(-2.5609282E+01, -6.0479027E+00) (-1.1174675E+00, -1.0972656E-01) 3.4543499E+00
(-2.4504246E+01, -5.9370547E+00) (-9.8325100E-01, -1.0613797E-01) 3.3720203E+00
(-2.3547226E+01, -5.8203941E+00) (-8.5571483E-01, -1.0170182E-01) 3.2872331E+00
(-2.2583729E+01, -5.7840809E+00) (-7.3744407E-01, -9.6327090E-02) 3.1999883E+00
(-2.1457561E+01, -5.8010943E+00) (-6.2997840E-01, -9.0000394E-02) 3.1135135E+00
(-2.0121377E+01, -5.8275202E+00) (-5.3412056E-01, -8.2810449E-02) 3.0315789E+00
(-1.8616420E+01, -5.8317824E+00) (-4.4996179E-01, -7.4945116E-02) 2.9538462E+00
(-1.7024378E+01, -5.7954354E+00) (-3.7700245E-01, -6.6668317E-02) 2.8800000E+00
(-1.5421557E+01, -5.7119989E+00) (-3.1442587E-01, -5.8282961E-02) 2.8097561E+00
(-1.3863484E+01, -5.5827453E+00) (-2.6123332E-01, -5.0088279E-02) 2.7428571E+00
(-1.2390388E+01, -5.4114141E+00) (-2.1635421E-01, -4.2343562E-02) 2.6790698E+00
(-1.1022730E+01, -5.2050692E+00) (-1.7872359E-01, -3.5244729E-02) 2.6181818E+00
(-9.7682252E+00, -4.9702749E+00) (-1.4733243E-01, -2.8915381E-02) 2.5600000E+00
(-8.6289450E+00, -4.7131928E+00) (-1.2125675E-01, -2.3410083E-02) 2.5043478E+00
(-7.5976254E+00, -4.4413611E+00) (-9.9671378E-02, -1.8725721E-02) 2.4510638E+00
(-6.6708219E+00, -4.1587397E+00) (-8.1853334E-02, -1.4816550E-02) 2.4000000E+00
(-5.8373240E+00, -3.8724891E+00) (-6.7178428E-02, -1.1609475E-02) 2.3510204E+00
(-5.0928970E+00, -3.5849541E+00) (-5.5114015E-02, -9.0173574E-03) 2.3040000E+00
