# KE: 100.00 MeV, L:  0 
# start: 0.00001 fm, dr:0.050, end:   20.00001 fm, nStep: 400 
#           r          Pot            u        du/dr            R        dR/dr
    3.400E+00   -3.736E+01    1.344E-01   -9.117E-01    4.011E-02   -2.841E-01
    3.450E+00   -3.655E+01    8.781E-02   -9.483E-01    2.583E-02   -2.865E-01
    3.500E+00   -3.572E+01    3.981E-02   -9.691E-01    1.154E-02   -2.843E-01
    3.550E+00   -3.485E+01   -8.840E-03   -9.742E-01   -2.526E-03   -2.776E-01
    3.600E+00   -3.396E+01   -5.735E-02   -9.635E-01   -1.615E-02   -2.669E-01
    3.650E+00   -3.304E+01   -1.049E-01   -9.375E-01   -2.915E-02   -2.523E-01
    3.700E+00   -3.209E+01   -1.508E-01   -8.967E-01   -4.133E-02   -2.344E-01
    3.750E+00   -3.112E+01   -1.944E-01   -8.421E-01   -5.253E-02   -2.134E-01
    3.800E+00   -3.013E+01   -2.349E-01   -7.748E-01   -6.263E-02   -1.899E-01
    3.850E+00   -2.913E+01   -2.717E-01   -6.959E-01   -7.149E-02   -1.643E-01
    3.900E+00   -2.811E+01   -3.043E-01   -6.069E-01   -7.903E-02   -1.371E-01
    3.950E+00   -2.708E+01   -3.322E-01   -5.094E-01   -8.518E-02   -1.088E-01
    4.000E+00   -2.604E+01   -3.551E-01   -4.049E-01   -8.990E-02   -7.974E-02
    4.050E+00   -2.500E+01   -3.726E-01   -2.952E-01   -9.316E-02   -5.051E-02
    4.100E+00   -2.396E+01   -3.846E-01   -1.820E-01   -9.496E-02   -2.149E-02
    4.150E+00   -2.292E+01   -3.908E-01   -6.707E-02   -9.532E-02    6.890E-03
    4.200E+00   -2.189E+01   -3.913E-01    4.789E-02   -9.429E-02    3.426E-02
    4.250E+00   -2.087E+01   -3.861E-01    1.612E-01   -9.192E-02    6.026E-02
    4.300E+00   -1.987E+01   -3.752E-01    2.712E-01   -8.829E-02    8.459E-02
    4.350E+00   -1.888E+01   -3.590E-01    3.765E-01   -8.349E-02    1.070E-01
    4.400E+00   -1.791E+01   -3.377E-01    4.755E-01   -7.763E-02    1.272E-01
    4.450E+00   -1.696E+01   -3.116E-01    5.671E-01   -7.082E-02    1.450E-01
    4.500E+00   -1.604E+01   -2.811E-01    6.500E-01   -6.318E-02    1.603E-01
    4.550E+00   -1.515E+01   -2.468E-01    7.233E-01   -5.484E-02    1.729E-01
    4.600E+00   -1.428E+01   -2.090E-01    7.861E-01   -4.593E-02    1.829E-01
    4.650E+00   -1.345E+01   -1.683E-01    8.377E-01   -3.659E-02    1.901E-01
    4.700E+00   -1.264E+01   -1.254E-01    8.776E-01   -2.697E-02    1.945E-01
    4.750E+00   -1.187E+01   -8.077E-02    9.055E-01   -1.719E-02    1.963E-01
    4.800E+00   -1.113E+01   -3.506E-02    9.210E-01   -7.382E-03    1.954E-01
    4.850E+00   -1.043E+01    1.112E-02    9.242E-01    2.316E-03    1.921E-01
    4.900E+00   -9.759E+00    5.715E-02    9.151E-01    1.178E-02    1.863E-01
    4.950E+00   -9.121E+00    1.024E-01    8.941E-01    2.090E-02    1.782E-01
    5.000E+00   -8.516E+00    1.464E-01    8.616E-01    2.957E-02    1.681E-01
    5.050E+00   -7.943E+00    1.884E-01    8.180E-01    3.768E-02    1.561E-01
    5.100E+00   -7.402E+00    2.280E-01    7.641E-01    4.515E-02    1.424E-01
    5.150E+00   -6.892E+00    2.647E-01    7.006E-01    5.189E-02    1.272E-01
    5.200E+00   -6.412E+00    2.979E-01    6.284E-01    5.785E-02    1.108E-01
    5.250E+00   -5.960E+00    3.274E-01    5.485E-01    6.296E-02    9.338E-02
    5.300E+00   -5.536E+00    3.527E-01    4.620E-01    6.717E-02    7.520E-02
    5.350E+00   -5.139E+00    3.735E-01    3.700E-01    7.047E-02    5.651E-02
    5.400E+00   -4.767E+00    3.896E-01    2.736E-01    7.282E-02    3.752E-02
    5.450E+00   -4.420E+00    4.008E-01    1.741E-01    7.422E-02    1.849E-02
    5.500E+00   -4.095E+00    4.070E-01    7.268E-02    7.467E-02   -3.654E-04
    5.550E+00   -3.793E+00    4.081E-01   -2.931E-02    7.419E-02   -1.882E-02
    5.600E+00   -3.511E+00    4.040E-01   -1.307E-01    7.280E-02   -3.666E-02
    5.650E+00   -3.248E+00    3.950E-01   -2.301E-01    7.054E-02   -5.369E-02
    5.700E+00   -3.004E+00    3.811E-01   -3.265E-01    6.745E-02   -6.973E-02
    5.750E+00   -2.777E+00    3.624E-01   -4.186E-01    6.359E-02   -8.460E-02
    5.800E+00   -2.567E+00    3.393E-01   -5.054E-01    5.901E-02   -9.816E-02
    5.850E+00   -2.371E+00    3.120E-01   -5.858E-01    5.379E-02   -1.103E-01
    5.900E+00   -2.190E+00    2.809E-01   -6.589E-01    4.801E-02   -1.208E-01
    5.950E+00   -2.022E+00    2.463E-01   -7.237E-01    4.174E-02   -1.297E-01
    6.000E+00   -1.866E+00    2.086E-01   -7.796E-01    3.507E-02   -1.369E-01
    6.050E+00   -1.722E+00    1.685E-01   -8.258E-01    2.808E-02   -1.423E-01
    6.100E+00   -1.589E+00    1.262E-01   -8.619E-01    2.086E-02   -1.459E-01
    6.150E+00   -1.466E+00    8.245E-02   -8.874E-01    1.352E-02   -1.477E-01
    6.200E+00   -1.352E+00    3.767E-02   -9.021E-01    6.125E-03   -1.477E-01
