# KE: 100.00 MeV, L:  0 
# start: 0.00001 fm, dr:0.050, end:   20.00001 fm, nStep: 400 
#           r          Pot            u        du/dr            R        dR/dr
    1.480E+01   -8.277E-07    2.374E-02   -9.020E-01    1.609E-03   -6.126E-02
    1.485E+01   -7.615E-07   -2.142E-02   -9.023E-01   -1.447E-03   -6.087E-02
    1.490E+01   -7.006E-07   -6.631E-02   -8.917E-01   -4.466E-03   -5.975E-02
    1.495E+01   -6.446E-07   -1.104E-01   -8.704E-01   -7.410E-03   -5.792E-02
    1.500E+01   -5.930E-07   -1.532E-01   -8.386E-01   -1.025E-02   -5.541E-02
    1.505E+01   -5.456E-07   -1.941E-01   -7.968E-01   -1.294E-02   -5.226E-02
    1.510E+01   -5.020E-07   -2.327E-01   -7.453E-01   -1.546E-02   -4.850E-02
    1.515E+01   -4.619E-07   -2.685E-01   -6.849E-01   -1.778E-02   -4.418E-02
    1.520E+01   -4.249E-07   -3.010E-01   -6.162E-01   -1.987E-02   -3.936E-02
    1.525E+01   -3.910E-07   -3.300E-01   -5.401E-01   -2.171E-02   -3.411E-02
    1.530E+01   -3.597E-07   -3.550E-01   -4.576E-01   -2.328E-02   -2.848E-02
    1.535E+01   -3.309E-07   -3.757E-01   -3.695E-01   -2.455E-02   -2.254E-02
    1.540E+01   -3.045E-07   -3.918E-01   -2.770E-01   -2.553E-02   -1.638E-02
    1.545E+01   -2.801E-07   -4.033E-01   -1.811E-01   -2.619E-02   -1.006E-02
    1.550E+01   -2.577E-07   -4.099E-01   -8.306E-02   -2.653E-02   -3.659E-03
    1.555E+01   -2.371E-07   -4.116E-01    1.598E-02   -2.655E-02    2.744E-03
    1.560E+01   -2.182E-07   -4.083E-01    1.148E-01   -2.626E-02    9.073E-03
    1.565E+01   -2.007E-07   -4.001E-01    2.123E-01   -2.565E-02    1.525E-02
    1.570E+01   -1.847E-07   -3.871E-01    3.072E-01   -2.474E-02    2.121E-02
    1.575E+01   -1.699E-07   -3.695E-01    3.984E-01   -2.353E-02    2.688E-02
    1.580E+01   -1.563E-07   -3.474E-01    4.848E-01   -2.205E-02    3.218E-02
    1.585E+01   -1.438E-07   -3.211E-01    5.654E-01   -2.032E-02    3.707E-02
    1.590E+01   -1.323E-07   -2.909E-01    6.392E-01   -1.836E-02    4.149E-02
    1.595E+01   -1.217E-07   -2.573E-01    7.053E-01   -1.618E-02    4.538E-02
    1.600E+01   -1.120E-07   -2.205E-01    7.629E-01   -1.383E-02    4.870E-02
    1.605E+01   -1.031E-07   -1.811E-01    8.113E-01   -1.132E-02    5.142E-02
    1.610E+01   -9.482E-08   -1.396E-01    8.500E-01   -8.696E-03    5.350E-02
    1.615E+01   -8.724E-08   -9.632E-02    8.784E-01   -5.982E-03    5.493E-02
    1.620E+01   -8.026E-08   -5.190E-02    8.963E-01   -3.214E-03    5.570E-02
    1.625E+01   -7.384E-08   -6.864E-03    9.034E-01   -4.237E-04    5.579E-02
    1.630E+01   -6.794E-08    3.826E-02    8.996E-01    2.354E-03    5.522E-02
    1.635E+01   -6.251E-08    8.292E-02    8.850E-01    5.087E-03    5.398E-02
    1.640E+01   -5.751E-08    1.266E-01    8.597E-01    7.742E-03    5.211E-02
    1.645E+01   -5.291E-08    1.687E-01    8.241E-01    1.029E-02    4.963E-02
    1.650E+01   -4.868E-08    2.088E-01    7.786E-01    1.269E-02    4.656E-02
    1.655E+01   -4.479E-08    2.464E-01    7.237E-01    1.493E-02    4.296E-02
    1.660E+01   -4.121E-08    2.811E-01    6.601E-01    1.698E-02    3.886E-02
    1.665E+01   -3.791E-08    3.123E-01    5.886E-01    1.881E-02    3.433E-02
    1.670E+01   -3.488E-08    3.398E-01    5.100E-01    2.041E-02    2.940E-02
    1.675E+01   -3.209E-08    3.632E-01    4.252E-01    2.175E-02    2.416E-02
    1.680E+01   -2.953E-08    3.822E-01    3.354E-01    2.282E-02    1.866E-02
    1.685E+01   -2.717E-08    3.967E-01    2.415E-01    2.361E-02    1.297E-02
    1.690E+01   -2.499E-08    4.063E-01    1.446E-01    2.411E-02    7.153E-03
    1.695E+01   -2.299E-08    4.111E-01    4.610E-02    2.433E-02    1.288E-03
    1.700E+01   -2.116E-08    4.109E-01   -5.301E-02    2.424E-02   -4.558E-03
    1.705E+01   -1.946E-08    4.058E-01   -1.515E-01    2.387E-02   -1.031E-02
    1.710E+01   -1.791E-08    3.958E-01   -2.481E-01    2.322E-02   -1.591E-02
    1.715E+01   -1.648E-08    3.811E-01   -3.418E-01    2.228E-02   -2.129E-02
    1.720E+01   -1.516E-08    3.617E-01   -4.313E-01    2.109E-02   -2.638E-02
    1.725E+01   -1.395E-08    3.380E-01   -5.157E-01    1.965E-02   -3.112E-02
    1.730E+01   -1.283E-08    3.102E-01   -5.939E-01    1.799E-02   -3.547E-02
    1.735E+01   -1.181E-08    2.787E-01   -6.649E-01    1.611E-02   -3.936E-02
    1.740E+01   -1.086E-08    2.439E-01   -7.279E-01    1.406E-02   -4.276E-02
    1.745E+01   -9.994E-09    2.061E-01   -7.821E-01    1.184E-02   -4.563E-02
    1.750E+01   -9.195E-09    1.658E-01   -8.270E-01    9.503E-03   -4.793E-02
    1.755E+01   -8.459E-09    1.236E-01   -8.619E-01    7.061E-03   -4.965E-02
    1.760E+01   -7.783E-09    7.982E-02   -8.864E-01    4.548E-03   -5.076E-02
    1.765E+01   -7.161E-09    3.511E-02   -9.002E-01    1.995E-03   -5.126E-02
    1.770E+01   -6.588E-09   -1.002E-02   -9.033E-01   -5.677E-04   -5.114E-02
    1.775E+01   -6.061E-09   -5.503E-02   -8.954E-01   -3.109E-03   -5.041E-02
    1.780E+01   -5.577E-09   -9.938E-02   -8.768E-01   -5.599E-03   -4.908E-02
    1.785E+01   -5.131E-09   -1.425E-01   -8.476E-01   -8.008E-03   -4.717E-02
    1.790E+01   -4.721E-09   -1.840E-01   -8.083E-01   -1.031E-02   -4.470E-02
    1.795E+01   -4.343E-09   -2.232E-01   -7.592E-01   -1.247E-02   -4.172E-02
    1.800E+01   -3.996E-09   -2.597E-01   -7.010E-01   -1.447E-02   -3.824E-02
    1.805E+01   -3.676E-09   -2.932E-01   -6.343E-01   -1.629E-02   -3.433E-02
    1.810E+01   -3.382E-09   -3.230E-01   -5.600E-01   -1.790E-02   -3.003E-02
    1.815E+01   -3.112E-09   -3.490E-01   -4.790E-01   -1.928E-02   -2.540E-02
    1.820E+01   -2.863E-09   -3.708E-01   -3.922E-01   -2.043E-02   -2.048E-02
    1.825E+01   -2.634E-09   -3.882E-01   -3.007E-01   -2.133E-02   -1.535E-02
    1.830E+01   -2.424E-09   -4.009E-01   -2.056E-01   -2.196E-02   -1.006E-02
    1.835E+01   -2.230E-09   -4.087E-01   -1.080E-01   -2.233E-02   -4.679E-03
    1.840E+01   -2.052E-09   -4.116E-01   -9.055E-03   -2.243E-02    7.290E-04
    1.845E+01   -1.888E-09   -4.096E-01    8.995E-02   -2.226E-02    6.099E-03
    1.850E+01   -1.737E-09   -4.026E-01    1.879E-01   -2.182E-02    1.137E-02
    1.855E+01   -1.598E-09   -3.909E-01    2.835E-01   -2.113E-02    1.647E-02
    1.860E+01   -1.470E-09   -3.744E-01    3.758E-01   -2.018E-02    2.135E-02
    1.865E+01   -1.352E-09   -3.533E-01    4.635E-01   -1.900E-02    2.594E-02
    1.870E+01   -1.244E-09   -3.281E-01    5.457E-01   -1.759E-02    3.020E-02
    1.875E+01   -1.145E-09   -2.989E-01    6.213E-01   -1.598E-02    3.408E-02
    1.880E+01   -1.053E-09   -2.661E-01    6.894E-01   -1.419E-02    3.752E-02
    1.885E+01   -9.691E-10   -2.301E-01    7.492E-01   -1.224E-02    4.050E-02
    1.890E+01   -8.916E-10   -1.913E-01    8.000E-01   -1.015E-02    4.298E-02
    1.895E+01   -8.203E-10   -1.502E-01    8.412E-01   -7.950E-03    4.493E-02
    1.900E+01   -7.547E-10   -1.074E-01    8.722E-01   -5.666E-03    4.633E-02
    1.905E+01   -6.944E-10   -6.320E-02    8.928E-01   -3.326E-03    4.717E-02
    1.910E+01   -6.389E-10   -1.827E-02    9.026E-01   -9.588E-04    4.743E-02
    1.915E+01   -5.878E-10    2.689E-02    9.016E-01    1.408E-03    4.713E-02
    1.920E+01   -5.408E-10    7.171E-02    8.897E-01    3.745E-03    4.626E-02
    1.925E+01   -4.975E-10    1.157E-01    8.671E-01    6.025E-03    4.485E-02
    1.930E+01   -4.578E-10    1.583E-01    8.341E-01    8.221E-03    4.290E-02
    1.935E+01   -4.212E-10    1.989E-01    7.910E-01    1.031E-02    4.045E-02
    1.940E+01   -3.875E-10    2.372E-01    7.385E-01    1.226E-02    3.753E-02
    1.945E+01   -3.565E-10    2.726E-01    6.770E-01    1.405E-02    3.417E-02
    1.950E+01   -3.280E-10    3.048E-01    6.074E-01    1.567E-02    3.042E-02
    1.955E+01   -3.018E-10    3.332E-01    5.305E-01    1.709E-02    2.633E-02
    1.960E+01   -2.777E-10    3.577E-01    4.472E-01    1.830E-02    2.194E-02
    1.965E+01   -2.555E-10    3.779E-01    3.585E-01    1.928E-02    1.731E-02
    1.970E+01   -2.350E-10    3.935E-01    2.655E-01    2.002E-02    1.249E-02
    1.975E+01   -2.162E-10    4.044E-01    1.693E-01    2.053E-02    7.552E-03
    1.980E+01   -1.989E-10    4.104E-01    7.108E-02    2.078E-02    2.547E-03
    1.985E+01   -1.830E-10    4.114E-01   -2.800E-02    2.078E-02   -2.464E-03
    1.990E+01   -1.684E-10    4.076E-01   -1.267E-01    2.053E-02   -7.419E-03
    1.995E+01   -1.549E-10    3.988E-01   -2.240E-01    2.004E-02   -1.226E-02
    2.000E+01   -1.426E-10    3.852E-01   -3.185E-01    1.931E-02   -1.693E-02
    2.005E+01   -1.312E-10    3.670E-01   -4.092E-01    1.835E-02   -2.138E-02
