+1.2000e-06  +1.9200e-02  -2.1200e-02    80    +1    -1
+1.2400e-06  -8.0000e-04  -4.1200e-02    81    +0    -2
+1.2800e-06  -8.0000e-04  -2.1200e-02    82    +0    -1
+1.3200e-06  -8.0000e-04  -4.1200e-02    83    +0    -2
+1.3600e-06  +1.9200e-02  -4.1200e-02    84    +1    -2
+1.4000e-06  -8.0000e-04  -4.1200e-02    85    +0    -2
+1.4400e-06  +1.9200e-02  -4.1200e-02    86    +1    -2
+1.4800e-06  +1.9200e-02  -2.1200e-02    87    +1    -1
+1.5200e-06  -8.0000e-04  -4.1200e-02    88    +0    -2
+1.5600e-06  +1.9200e-02  -4.1200e-02    89    +1    -2
+1.6000e-06  +1.9200e-02  -2.1200e-02    90    +1    -1
+1.6400e-06  -8.0000e-04  -4.1200e-02    91    +0    -2
+1.6800e-06  -8.0000e-04  -4.1200e-02    92    +0    -2
+1.7200e-06  +1.9200e-02  -4.1200e-02    93    +1    -2
+1.7600e-06  +1.9200e-02  -4.1200e-02    94    +1    -2
+1.8000e-06  +1.9200e-02  -4.1200e-02    95    +1    -2
+1.8400e-06  +1.9200e-02  -2.1200e-02    96    +1    -1
+1.8800e-06  -8.0000e-04  -2.1200e-02    97    +0    -1
+1.9200e-06  -8.0000e-04  -4.1200e-02    98    +0    -2
+1.9600e-06  +1.9200e-02  -4.1200e-02    99    +1    -2
+2.0000e-06  +1.9200e-02  -2.1200e-02   100    +1    -1
+2.0400e-06  -8.0000e-04  -4.1200e-02   101    +0    -2
+2.0800e-06  -8.0000e-04  -4.1200e-02   102    +0    -2
+2.1200e-06  -8.0000e-04  -4.1200e-02   103    +0    -2
+2.1600e-06  +1.9200e-02  -4.1200e-02   104    +1    -2
+2.2000e-06  +1.9200e-02  -2.1200e-02   105    +1    -1
+2.2400e-06  +1.9200e-02  -2.1200e-02   106    +1    -1
+2.2800e-06  +1.9200e-02  -4.1200e-02   107    +1    -2
+2.3200e-06  +1.9200e-02  -4.1200e-02   108    +1    -2
+2.3600e-06  +1.9200e-02  -4.1200e-02   109    +1    -2
+2.4000e-06  +1.9200e-02  -4.1200e-02   110    +1    -2
+2.4400e-06  +1.9200e-02  -2.1200e-02   111    +1    -1
+2.4800e-06  +3.9200e-02  -4.1200e-02   112    +2    -2
